Mention_Type,Date,Title,Link,Snippet
Joint Mention,2026-01-23 13:33:20 UTC,India Digital Summit's Post,https://www.linkedin.com/posts/india-digital-summit_ids2026-indiadigitalsummit-enterpriseai-activity-7420458618157907968-2R8u,"Obtain rare insights at the India Digital Summit from a high-impact panel discussion featuring Shayak Mazumder, Adya.ai; Mykolas Majauskas, Bybit; ..."
Joint Mention,2026-01-23 11:06:29 UTC,India's Tech Sector on Track to Hit $300B by FY26,https://www.linkedin.com/posts/tarun-bansal-4b062640_nasscom-sr-press-releasepdf-activity-7420421665756680192-0rXb,"I appreciated the depth of perspectives shared — from Shayak Mazumder of Adya AI on agentic systems and regulated inference, to @Rakesh S of JetSynthesys on ...Read more"
Joint Mention,2026-01-21 09:54:02 UTC,Infosys CEO Salil Parekh on AI's impact on enterprise tech ...,https://www.linkedin.com/posts/cnbc-tv18_davoswithcnbctv18-ai-wef26-activity-7419678657473871872-kXgd,"Shayak Mazumder, CEO and CTO, Adya.AI; offered insight into From Pilots to Platforms Accelerating AI Deployment in Large Enterprises & Government The Leela ...Read more"
Joint Mention,2026-01-16 10:40:30 UTC,App Studio Introduces Gesture-Controlled Interfaces and ...,https://www.linkedin.com/posts/smhaaz_i-was-telling-the-team-yesterday-that-we-activity-7417878410011537408-bsVK,"Love it, Shayak Mazumder! Gestures are truly the new frontier to make the ... ADYA AI Independence Week Launch. Shayak Mazumder 6mo · Beyond the Hype ...Read more"
Joint Mention,2026-01-16 05:30:28 UTC,Boost Learning Speed with AI at 10x | Sachin Saxena ...,https://www.linkedin.com/posts/ytsaxena_ai-learning-technology-activity-7417800386012602368--Vuh,"At Adya AI workshops, the focus is simple: understand how AI actually works ... Onward to more learning, building, and problem-solving Shayak Mazumder ...Read more"
Joint Mention,2026-01-13 07:13:38 UTC,Indian Data Commons for Omics Solutions,https://www.linkedin.com/posts/smhaaz_sometimes-you-walk-into-certain-rooms-and-activity-7416739185656672256-DCuc,"So great to meet you, Shayak Mazumder, I'm super excited about what this ... ADYA AI Independence Week Launch. Shayak Mazumder 6mo · Beyond the Hype ...Read more"
Joint Mention,2026-01-10 03:30:07 UTC,Post 5: The Adya Five-Level Framework Here's how ...,https://www.linkedin.com/posts/smhaaz_post-5-the-adya-five-level-framework-here-activity-7415595773503008768-iD8a,"Shayak Mazumder 1mo. ADYA AI Independence Week Launch. Shayak Mazumder 6mo. Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 11mo ...Read more"
Joint Mention,2026-01-09 03:30:15 UTC,Post 4: Adya's Core Insight – Build vs Buy Is a ...,https://www.linkedin.com/posts/smhaaz_post-4-adyas-core-insight-build-vs-buy-activity-7415233421226143744-Rj9O,"Shayak Mazumder 1mo. ADYA AI Independence Week Launch. Shayak Mazumder 6mo. Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 11mo ...Read more"
Joint Mention,2026-01-08 03:30:06 UTC,Post 3: Why “Build” (Platforms) Scare Investors Pure ...,https://www.linkedin.com/posts/smhaaz_post-3-why-build-platforms-scare-investors-activity-7414870992017158144-aF1w,Shayak Mazumder's Post. View profile for Shayak Mazumder · Shayak Mazumder. CEO ... ADYA AI Independence Week Launch. Shayak Mazumder 6mo. Beyond the Hype ...Read more
Joint Mention,2026-01-07 12:39:05 UTC,Building Future-Ready Digital Talent with Deloitte India,https://www.linkedin.com/posts/deloitte_cioprogram-digitaltalent-futureofwork-activity-7414646763061616640-A_u5,"Shayak Mazumder, CEO and CTO, Adya.AI; offered insight into From Pilots to Platforms Accelerating AI Deployment in Large Enterprises & Government The Leela ...Read more"
Joint Mention,2026-01-07 11:27:11 UTC,Shayak Mazumder's Post,https://www.linkedin.com/posts/smhaaz_the-first-article-in-a-series-of-articles-activity-7414628666632105985-ZbNc,"Shayak Mazumder 2mo. ADYA AI Independence Week Launch. Shayak Mazumder 6mo. Beyond the Hype: Rethinking AI, Data, and Productivity. Shayak Mazumder 11mo ...Read more"
